date,date,open,high,low,close,volume
2017-01-03,2017-01-03,3105.309,3136.456,3105.309,3135.921,14156718700
2017-01-04,2017-01-04,3133.787,3160.103,3130.115,3158.794,16786085000
2017-01-05,2017-01-05,3157.906,3168.502,3154.281,3165.411,17472764500
2017-01-06,2017-01-06,3163.776,3172.035,3153.025,3154.321,18370896600
2017-01-09,2017-01-09,3148.532,3173.136,3147.735,3171.236,17171407500
2017-01-10,2017-01-10,3167.57,3174.578,3157.332,3161.671,17975921600
2017-01-11,2017-01-11,3156.686,3167.029,3136.267,3136.754,17836222100
2017-01-12,2017-01-12,3133.602,3144.97,3115.979,3119.289,14888924000
2017-01-13,2017-01-13,3116.083,3130.515,3102.163,3112.764,15627421400
2017-01-16,2017-01-16,3104.492,3105.142,3044.291,3103.428,25788599600
2017-01-17,2017-01-17,3087.03,3108.907,3072.338,3108.775,13615786100
2017-01-18,2017-01-18,3104.766,3123.72,3098.586,3113.012,13178012800
2017-01-19,2017-01-19,3104.972,3115.778,3094.006,3101.299,12385142000
2017-01-20,2017-01-20,3095.819,3125.66,3095.215,3123.139,12236677700
2017-01-23,2017-01-23,3125.421,3145.841,3125.421,3136.775,13266039200
2017-01-24,2017-01-24,3134.592,3149.531,3131.218,3142.553,12597388100
2017-01-25,2017-01-25,3137.646,3151.472,3133.191,3149.555,11207382700
2017-01-26,2017-01-26,3149.217,3163.104,3148.908,3159.166,11387677200
2017-02-03,2017-02-03,3160.082,3162.677,3136.013,3140.17,9222473600
2017-02-06,2017-02-06,3143.093,3158.843,3135.387,3156.984,12719828300
2017-02-07,2017-02-07,3154.405,3159.544,3140.036,3153.088,12833744200
2017-02-08,2017-02-08,3148.086,3167.447,3132.033,3166.982,14492018700
2017-02-09,2017-02-09,3164.688,3186.838,3162.574,3183.179,19164032700
2017-02-10,2017-02-10,3183.007,3205.049,3182.802,3196.699,23934891300
2017-02-13,2017-02-13,3198.995,3219.407,3198.995,3216.839,22019150800
2017-02-14,2017-02-14,3216.137,3219.405,3205.285,3217.928,18879808800
